ticker,Market Cap ,Price/Book (mrq),Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin (ttm),Operating Margin (ttm),Revenue (ttm),Gross Profit (ttm),EBITDA (ttm),Net Income Avl to Common (ttm),Total Cash (mrq),Total Debt (mrq),Beta,% Held by Insiders,% Held by Institutions
PEG,19.85B,1.52,Dec 31,"Sep 30, 2015",16.92%,28.25%,2.64,3.85B,6.30,1.85B,282.00M,9.26B,0.40,0.14%,68.50%
PHM,6.45B,1.39,Dec 31,"Sep 30, 2015",8.41%,12.35%,1.37,1.38B,10.44,479.93M,745.28M,2.26B,1.07,9.47%,87.50%
PVH,7.29B,1.74,Feb 1,"Aug 2, 2015",6.13%,8.77%,1.32,4.33B,11.10,493.50M,466.70M,3.38B,0.27,0.29%,101.20%
QEP,2.61B,0.70,Dec 31,"Sep 30, 2015",22.78%,-33.39%,1.85,1.86B,3.36,-580.60M,495.80M,2.22B,1.12,5.78%,93.80%
QRVO,7.81B,1.38,Mar 28,"Oct 3, 2015",4.18%,6.48%,3.22,689.31M,11.63,100.83M,195.56M,75.00M,1.48,0.39%,89.40%
QCOM,79.46B,2.54,Sep 27,"Sep 27, 2015",20.85%,29.49%,2.86,14.90B,8.33,5.27B,17.32B,10.97B,1.43,0.17%,82.10%
PWR,3.46B,1.10,Dec 31,"Sep 30, 2015",4.90%,5.04%,0.48,1.23B,6.16,211.40M,49.19M,350.56M,0.66,0.73%,90.90%
DGX,9.64B,2.15,Dec 31,"Sep 30, 2015",9.45%,15.68%,1.78,2.80B,9.01,703.00M,123.00M,3.73B,0.45,0.34%,96.90%
RL,10.58B,2.96,Mar 28,"Sep 26, 2015",7.50%,12.30%,1.49,4.38B,9.11,563.00M,1.13B,1.02B,0.67,0.39%,98.50%
RRC,5.01B,1.73,Dec 31,"Sep 30, 2015",-7.97%,5.89%,6.60,1.44B,7.25,-112.93M,490.00K,3.59B,0.92,10.90%,95.90%
RTN,35.65B,3.50,Dec 31,"Sep 27, 2015",9.04%,12.59%,1.64,5.53B,11.49,2.04B,3.06B,5.33B,0.72,0.38%,79.60%
O,11.86B,1.98,Dec 31,"Sep 30, 2015",27.66%,48.89%,17.18,879.63M,19.23,251.83M,7.07M,5.26B,0.38,0.35%,64.80%
RHT,14.89B,10.80,Feb 28,"Aug 31, 2015",10.24%,15.02%,7.52,1.52B,39.66,195.11M,1.17B,724.62M,0.91,0.56%,98.00%
REGN,60.01B,17.71,Dec 31,"Sep 30, 2015",15.26%,32.86%,15.20,2.61B,43.94,581.10M,895.64M,394.87M,1.35,24.87%,73.30%
RF,13.01B,0.81,Dec 31,"Sep 30, 2015",20.22%,27.49%,3.07,N/A,N/A,950.00M,6.19B,8.27B,1.05,0.14%,75.20%
RSG,15.26B,1.95,Dec 31,"Sep 30, 2015",6.95%,15.04%,2.51,3.16B,9.47,628.00M,102.50M,7.56B,0.71,31.30%,64.60%
RAI,64.51B,3.45,Dec 31,"Sep 30, 2015",32.00%,34.78%,8.04,4.41B,22.44,3.12B,3.18B,17.93B,0.86,42.21%,47.90%
RHI,7.04B,6.81,Dec 31,"Sep 30, 2015",6.95%,11.36%,1.32,1.92B,10.62,348.41M,251.82M,1.20M,0.91,3.28%,89.90%
ROK,13.94B,5.47,Sep 30,"Jun 30, 2015",13.50%,18.78%,2.06,2.75B,9.74,874.20M,2.16B,1.50B,1.20,0.51%,78.70%
COL,11.57B,6.17,Sep 30,"Sep 30, 2015",13.08%,19.51%,2.57,1.51B,10.57,694.00M,252.00M,2.13B,0.61,0.45%,0.20%
ROP,18.92B,3.66,Dec 31,"Sep 30, 2015",18.79%,28.99%,5.82,2.10B,16.86,673.41M,700.58M,2.80B,0.92,1.61%,96.20%
ROST,20.08B,8.54,Jan 31,"Aug 1, 2015",8.51%,13.70%,1.75,3.10B,11.00,982.09M,631.29M,395.79M,1.35,2.26%,91.70%
RCL,21.61B,2.63,Dec 31,"Sep 30, 2015",6.92%,14.10%,3.67,2.77B,15.32,568.75M,147.42M,8.58B,0.78,21.56%,73.50%
R,3.70B,1.89,Dec 31,"Sep 30, 2015",3.66%,9.79%,1.38,1.38B,5.19,241.14M,75.39M,5.45B,1.47,0.92%,99.10%
SNDK,14.89B,2.70,Dec 28,"Sep 27, 2015",7.90%,14.76%,2.72,3.07B,10.60,454.90M,1.70B,2.14B,2.57,10.74%,86.20%
SCG,8.60B,1.57,Dec 31,"Sep 30, 2015",16.24%,23.61%,3.27,1.62B,9.90,753.00M,54.00M,6.59B,0.38,9.28%,59.20%
HSIC,12.76B,4.39,Dec 27,"Sep 26, 2015",4.60%,7.24%,1.30,2.91B,14.80,482.08M,60.48M,798.45M,1.09,1.60%,98.20%
SLB,98.05B,2.62,Dec 31,"Sep 30, 2015",8.40%,17.41%,2.60,11.18B,9.37,3.39B,6.60B,12.27B,1.28,0.06%,78.00%
SCHW,44.22B,3.74,Dec 31,"Sep 30, 2015",22.29%,34.59%,3.02,6.06B,N/A,1.32B,28.08B,2.89B,1.41,12.34%,79.80%
SNI,7.45B,5.12,Dec 31,"Sep 30, 2015",20.24%,39.30%,4.05,1.89B,9.24,573.97M,247.35M,4.15B,1.71,21.54%,96.70%
STX,10.75B,5.68,Jul 3,"Oct 2, 2015",10.83%,8.95%,1.02,3.81B,6.63,1.40B,1.92B,4.14B,1.13,11.39%,88.70%
SEE,8.98B,20.42,Dec 31,"Sep 30, 2015",3.84%,12.23%,1.84,2.69B,12.00,276.20M,334.30M,4.65B,1.50,0.56%,96.00%
SRE,25.22B,2.16,Dec 31,"Sep 30, 2015",12.43%,17.70%,3.82,3.35B,12.94,1.28B,704.00M,14.79B,0.67,5.33%,75.30%
SHW,24.85B,24.99,Dec 31,"Sep 30, 2015",8.74%,13.11%,2.35,5.16B,15.78,984.24M,91.03M,1.96B,1.24,17.39%,68.40%
SIAL,16.79B,5.00,Dec 31,"Sep 30, 2015",17.73%,25.10%,5.72,1.42B,19.18,493.00M,1.19B,300.00M,0.09,0.23%,81.80%
SPG,60.02B,13.84,Dec 31,"Sep 30, 2015",32.66%,49.59%,16.23,3.99B,22.00,1.66B,856.86M,22.63B,0.47,0.72%,98.60%
SWKS,15.50B,4.82,Oct 2,"Oct 2, 2015",24.50%,31.76%,4.36,1.02B,11.60,798.30M,1.04B,0.00,0.48,0.33%,74.80%
SLG,11.69B,1.66,Dec 31,"Sep 30, 2015",14.97%,26.18%,13.36,1.02B,19.91,188.76M,244.36M,10.17B,0.80,0.53%,105.60%
SJM,13.82B,1.93,Apr 30,"Jul 31, 2015",5.78%,15.41%,3.10,1.97B,15.21,363.30M,133.60M,6.00B,0.76,7.33%,64.60%
SNA,9.87B,4.19,Jan 3,"Oct 3, 2015",12.89%,20.74%,2.98,1.73B,13.16,463.50M,118.70M,937.70M,1.15,0.81%,85.90%
SO,40.94B,1.95,Dec 31,"Sep 30, 2015",13.26%,23.84%,3.76,7.44B,10.30,2.38B,1.12B,27.16B,0.21,0.03%,51.70%
LUV,30.42B,4.34,Dec 31,"Sep 30, 2015",9.51%,19.57%,1.55,10.93B,6.41,1.84B,3.10B,2.72B,1.20,0.08%,77.80%
SWN,4.10B,0.98,Dec 31,"Sep 30, 2015",-62.71%,18.40%,2.65,3.61B,5.15,-2.22B,15.00M,4.67B,0.97,0.54%,110.60%
SE,18.00B,2.52,Dec 31,"Sep 30, 2015",14.05%,34.45%,5.88,3.11B,12.09,775.00M,353.00M,14.64B,0.94,0.16%,74.60%
STJ,17.88B,4.58,Jan 3,"Oct 3, 2015",18.29%,24.42%,3.77,3.97B,12.54,1.01B,2.54B,5.06B,1.13,2.44%,86.30%
SWK,16.05B,2.84,Jan 3,"Oct 3, 2015",6.76%,12.90%,1.77,N/A,10.68,855.90M,307.90M,4.35B,0.74,0.59%,88.40%
SPLS,8.33B,1.61,Jan 31,"Aug 1, 2015",0.24%,4.27%,0.41,5.80B,6.40,51.53M,611.00M,1.11B,1.42,0.70%,97.10%
SBUX,91.86B,15.87,Sep 27,"Sep 27, 2015",14.39%,17.49%,4.86,9.59B,21.72,2.76B,1.61B,2.35B,0.76,2.79%,72.60%
HOT,12.97B,10.44,Dec 31,"Sep 30, 2015",17.93%,27.45%,4.61,4.28B,13.07,568.00M,1.07B,2.36B,1.81,6.38%,87.70%
STT,28.90B,1.53,Dec 31,"Sep 30, 2015",18.25%,26.72%,-2.67,N/A,N/A,1.79B,87.79B,31.04B,1.07,0.58%,91.60%
SRCL,10.55B,3.96,Dec 31,"Sep 30, 2015",9.38%,21.94%,4.17,1.09B,16.16,260.20M,669.17M,1.52B,0.02,1.22%,90.80%
SYK,36.72B,4.32,Dec 31,"Sep 30, 2015",11.95%,22.94%,3.73,6.38B,13.91,1.18B,3.37B,3.49B,0.98,8.29%,76.00%
STI,22.34B,1.00,Dec 31,"Sep 30, 2015",23.70%,35.86%,3.29,N/A,N/A,1.78B,10.30B,12.95B,1.10,0.18%,83.50%
SYMC,13.48B,2.30,Apr 3,"Oct 2, 2015",10.91%,21.45%,1.93,5.36B,6.85,671.00M,3.36B,1.74B,1.22,0.23%,93.60%
SYY,22.80B,4.55,Jun 27,"Sep 26, 2015",1.34%,3.67%,0.52,8.55B,10.91,652.38M,388.26M,3.09B,0.42,7.16%,76.70%
TROW,19.21B,4.10,Dec 31,"Sep 30, 2015",29.63%,46.13%,4.29,3.98B,8.74,1.22B,1.24B,0.00,1.32,3.33%,73.20%
TGT,47.06B,3.49,Jan 31,"Aug 1, 2015",-1.23%,7.05%,0.80,21.34B,7.95,2.91B,2.77B,12.74B,0.65,0.11%,88.40%
TEL,26.63B,2.69,Sep 25,"Sep 25, 2015",19.78%,16.28%,2.16,4.69B,10.12,1.24B,3.33B,3.90B,0.84,0.22%,93.60%
TE,6.26B,2.45,Dec 31,"Sep 30, 2015",4.84%,19.84%,3.69,1.02B,11.38,216.90M,55.40M,3.98B,0.40,1.20%,60.00%
TGNA,6.08B,2.86,Dec 28,"Sep 27, 2015",15.42%,19.37%,1.62,2.96B,6.65,1.06B,117.80M,4.48B,1.68,6.92%,85.40%
THC,3.28B,4.26,Dec 31,"Sep 30, 2015",0.10%,7.97%,0.98,13.98B,7.81,19.00M,450.00M,14.75B,11.24,1.29%,100.40%
TDC,3.60B,3.72,Dec 31,"Sep 30, 2015",-1.83%,13.34%,1.37,1.48B,7.95,-47.00M,874.00M,710.00M,1.05,0.69%,100.40%
TSO,13.83B,2.63,Dec 31,"Sep 30, 2015",5.38%,10.08%,0.56,4.94B,4.73,1.66B,959.00M,3.80B,1.56,6.17%,86.40%
TXN,58.42B,5.83,Dec 31,"Sep 30, 2015",22.75%,32.22%,4.53,7.43B,11.10,2.93B,2.74B,4.13B,1.30,0.22%,87.20%
TXT,11.27B,2.40,Jan 3,"Oct 3, 2015",5.02%,8.20%,1.07,2.46B,9.19,686.00M,497.00M,3.77B,1.48,0.10%,80.80%
TMO,53.87B,2.60,Dec 31,"Sep 26, 2015",11.75%,14.18%,3.95,7.49B,16.36,1.98B,503.40M,13.32B,1.04,0.18%,89.60%
TIF,9.98B,3.59,Jan 31,"Jul 31, 2015",10.58%,19.67%,2.53,2.54B,10.41,444.18M,771.40M,1.08B,1.88,13.20%,80.90%
TWX,56.99B,2.37,Dec 31,"Sep 30, 2015",12.93%,25.69%,2.69,11.48B,9.59,3.65B,1.77B,22.93B,1.27,0.11%,83.70%
TWC,53.66B,6.13,Dec 31,"Sep 30, 2015",8.17%,19.35%,3.24,15.99B,9.69,1.89B,485.00M,22.73B,0.85,5.12%,88.30%
TJX,46.68B,11.33,Jan 31,"Aug 1, 2015",7.58%,12.31%,1.60,8.30B,11.18,2.27B,2.24B,1.62B,0.74,0.54%,91.20%
TMK,7.38B,1.73,Dec 31,"Sep 30, 2015",13.42%,21.15%,2.15,1.75B,10.05,540.89M,123.15M,1.36B,0.94,1.99%,78.40%
TSS,9.88B,5.23,Dec 31,"Sep 30, 2015",13.38%,19.40%,4.00,777.98M,16.50,361.14M,447.85M,1.42B,0.92,2.38%,74.50%
TSCO,12.28B,9.26,Dec 27,"Sep 26, 2015",6.66%,10.63%,2.03,1.95B,16.12,410.74M,51.35M,201.29M,1.32,0.50%,93.90%
RIG,5.28B,0.40,Dec 31,"Sep 30, 2015",-7.32%,28.67%,1.57,4.06B,3.72,-559.00M,2.23B,8.75B,1.56,0.02%,68.60%
TRV,34.83B,1.44,Dec 31,"Sep 30, 2015",13.42%,19.92%,1.34,13.29B,5.83,3.58B,5.47B,6.74B,1.28,0.45%,84.30%
TRIP,11.52B,8.52,Dec 31,"Sep 30, 2015",15.70%,21.89%,7.41,1.21B,29.78,231.00M,686.00M,288.00M,2.95,19.44%,91.80%
FOXA,59.17B,3.89,Jun 30,"Sep 30, 2015",29.23%,20.40%,2.67,28.99B,11.81,8.01B,5.83B,19.01B,1.79,1.03%,102.80%
TYC,15.77B,3.60,Sep 26,"Jun 26, 2015",3.92%,6.93%,1.67,3.78B,16.10,457.00M,595.00M,2.02B,1.06,0.48%,90.30%
TSN,18.25B,1.90,Sep 27,"Jun 27, 2015",2.68%,5.15%,0.61,2.68B,9.08,1.10B,473.00M,7.23B,0.51,1.72%,92.00%
USB,75.77B,1.89,Dec 31,"Sep 30, 2015",31.89%,44.31%,6.79,N/A,N/A,5.62B,12.25B,60.80B,0.75,0.12%,73.80%
UA,20.11B,13.42,Dec 31,"Sep 30, 2015",5.82%,10.40%,5.79,1.51B,44.91,214.68M,159.40M,908.07M,0.05,0.36%,77.40%
UNP,72.22B,3.52,Dec 31,"Sep 30, 2015",22.35%,37.38%,3.72,17.89B,8.07,5.09B,1.08B,13.32B,0.75,0.16%,81.00%
UPS,93.52B,48.24,Dec 31,"Sep 30, 2015",6.81%,10.90%,1.75,43.47B,12.15,3.97B,5.69B,14.64B,0.98,0.06%,69.10%
URI,7.16B,4.82,Dec 31,"Sep 30, 2015",10.41%,26.43%,2.66,2.43B,8.54,610.00M,171.00M,8.52B,1.99,0.77%,99.60%
UTX,87.16B,2.87,Dec 31,"Sep 30, 2015",9.07%,15.03%,1.64,17.65B,9.05,5.68B,5.48B,22.67B,1.17,0.13%,83.20%
UNH,109.15B,3.34,Dec 31,"Sep 30, 2015",4.16%,7.70%,0.90,37.22B,10.60,6.10B,9.92B,31.78B,0.60,1.62%,89.60%
UHS,11.89B,2.98,Dec 31,"Sep 30, 2015",7.75%,14.38%,1.75,8.07B,9.30,679.28M,39.52M,3.10B,0.87,1.68%,95.60%
UNM,8.91B,1.04,Dec 31,"Sep 30, 2015",3.48%,5.69%,1.03,2.79B,15.65,370.10M,707.40M,2.74B,1.44,0.47%,93.60%
URBN,3.31B,2.92,Jan 31,"Jul 31, 2015",6.62%,10.41%,0.99,1.17B,6.94,227.06M,266.37M,115.00M,0.39,26.45%,80.30%
VLO,34.33B,1.62,Dec 31,"Sep 30, 2015",5.00%,7.77%,0.38,12.70B,3.92,4.84B,5.30B,7.38B,1.31,0.44%,84.20%
VAR,7.98B,4.65,Oct 2,"Oct 2, 2015",13.28%,17.72%,2.46,1.30B,12.37,411.50M,845.47M,495.95M,0.61,0.24%,98.80%
VTR,16.62B,1.74,Dec 31,"Sep 30, 2015",11.54%,28.66%,8.04,1.86B,14.84,463.79M,65.23M,11.27B,-0.09,0.48%,96.30%
VRSN,9.21B,N/A,Dec 31,"Sep 30, 2015",32.53%,56.58%,8.71,821.69M,13.93,339.18M,1.89B,1.86B,1.17,12.24%,110.80%
VZ,184.60B,13.97,Dec 31,"Sep 30, 2015",7.86%,16.22%,2.23,77.15B,7.83,10.26B,4.43B,112.33B,0.69,0.01%,64.50%
VRTX,29.08B,31.67,Dec 31,"Sep 30, 2015",-86.86%,-74.04%,38.25,519.43M,-58.04,-659.05M,1.01B,820.98M,1.45,0.55%,95.50%
VFC,28.03B,5.40,Jan 3,"Oct 3, 2015",8.30%,14.68%,2.48,5.99B,14.70,1.04B,566.60M,2.71B,0.93,0.64%,85.40%
VIAB,19.61B,6.71,Sep 30,"Jun 30, 2015",13.14%,30.05%,2.37,N/A,7.47,1.77B,421.00M,13.08B,1.65,0.76%,90.70%
V,193.29B,6.48,Sep 30,"Sep 30, 2015",45.59%,65.40%,13.50,10.83B,19.58,6.33B,6.02B,0.00,1.02,0.06%,92.80%
VNO,18.12B,3.34,Dec 31,"Sep 30, 2015",37.46%,31.54%,10.12,1.57B,20.90,515.58M,788.14M,10.08B,0.72,9.12%,88.90%
VMC,13.55B,3.06,Dec 31,"Sep 30, 2015",5.13%,14.26%,4.56,587.58M,20.31,177.70M,168.68M,1.98B,0.79,0.30%,90.20%
WMT,184.60B,2.39,Jan 31,"Jul 31, 2015",3.19%,5.35%,0.48,120.56B,6.58,15.49B,5.75B,49.69B,0.46,51.35%,30.60%
WBA,89.05B,2.95,Aug 31,"Aug 31, 2015",4.08%,5.13%,0.99,26.92B,14.89,4.22B,3.04B,14.38B,1.45,12.92%,61.60%
DIS,197.19B,4.48,Oct 3,"Oct 3, 2015",15.98%,25.21%,4.05,22.39B,13.65,8.38B,4.27B,17.34B,1.48,7.82%,63.30%
WM,23.95B,4.58,Dec 31,"Sep 30, 2015",8.14%,14.52%,2.76,4.99B,10.57,1.07B,113.00M,9.05B,0.85,2.80%,78.40%
WAT,10.76B,5.49,Dec 31,"Oct 3, 2015",23.01%,28.16%,4.96,1.16B,15.22,469.29M,2.31B,1.63B,0.51,4.35%,94.80%
WEC,15.82B,1.81,Dec 31,"Sep 30, 2015",10.95%,22.35%,4.83,1.63B,15.22,580.60M,22.20M,9.99B,0.25,0.14%,62.90%
WFC,284.73B,1.66,Dec 31,"Sep 30, 2015",27.47%,42.97%,2.70,N/A,N/A,21.65B,348.38B,288.74B,0.87,0.10%,77.50%
WDC,14.49B,1.57,Jul 3,"Oct 2, 2015",9.47%,11.80%,0.84,4.22B,4.35,1.32B,5.43B,2.54B,0.93,2.40%,77.10%
WU,9.76B,7.29,Dec 31,"Sep 30, 2015",15.36%,20.57%,2.13,2.31B,8.37,847.00M,1.53B,3.48B,1.13,0.11%,111.30%
WY,15.23B,3.07,Dec 31,"Sep 30, 2015",8.59%,14.49%,2.70,1.64B,12.70,569.00M,1.05B,5.40B,1.10,1.41%,83.80%
WHR,12.45B,2.52,Dec 31,"Sep 30, 2015",3.21%,6.52%,0.77,3.40B,7.99,684.00M,698.00M,4.81B,1.75,0.75%,92.90%
WFM,10.46B,2.81,Sep 27,"Sep 27, 2015",3.48%,5.70%,0.67,5.04B,7.81,536.00M,392.00M,65.00M,0.99,0.81%,80.80%
WMB,27.25B,3.73,Dec 31,"Sep 30, 2015",4.50%,17.36%,6.83,3.13B,17.25,337.00M,125.00M,23.71B,1.00,0.15%,87.80%
WYN,9.39B,9.26,Dec 31,"Sep 30, 2015",10.12%,18.59%,2.63,2.78B,11.51,552.00M,259.00M,5.18B,1.32,1.15%,95.10%
WYNN,6.68B,N/A,Dec 31,"Sep 30, 2015",4.57%,17.10%,3.17,2.12B,12.63,194.97M,2.03B,8.75B,2.20,31.89%,75.70%
XEL,18.33B,1.71,Dec 31,"Sep 30, 2015",8.59%,17.25%,2.73,3.73B,9.75,971.80M,412.71M,13.21B,0.32,0.15%,71.80%
XRX,10.41B,1.07,Dec 31,"Sep 30, 2015",1.95%,5.00%,0.90,6.25B,9.78,548.00M,804.00M,7.58B,0.95,6.66%,84.50%
XLNX,12.12B,4.64,Mar 28,"Sep 26, 2015",25.84%,31.50%,4.64,1.67B,13.36,578.10M,3.30B,1.58B,1.28,0.32%,94.40%
XL,11.23B,0.94,Dec 31,"Sep 30, 2015",13.31%,16.70%,1.08,2.36B,6.16,1.12B,4.87B,2.73B,0.94,0.33%,96.00%
XYL,6.65B,3.24,Dec 31,"Sep 30, 2015",8.70%,12.46%,1.97,1.51B,12.19,322.00M,611.00M,1.28B,1.29,0.40%,92.80%
YHOO,31.58B,1.14,Dec 31,"Sep 30, 2015",4.90%,0.55%,5.54,3.32B,57.50,242.25M,5.88B,1.22B,2.02,7.87%,70.60%
YUM,29.55B,16.24,Dec 27,"Sep 5, 2015",7.09%,15.57%,2.43,3.60B,11.47,932.00M,861.00M,3.22B,0.82,0.27%,79.50%
ZBH,21.70B,2.18,Dec 31,"Sep 30, 2015",3.28%,27.14%,6.04,3.42B,16.38,173.60M,1.81B,11.91B,1.12,15.00%,76.90%
ZTS,22.49B,18.61,Dec 31,"Sep 27, 2015",9.21%,25.67%,5.38,3.07B,18.08,443.00M,592.00M,3.64B,0.84,0.01%,93.50%
